,x1,x2,x3,Result,Pesos Iniciais,Pesos Finais,Theta Inicial,Theta Final
0,-0.3665,0.062,5.9891,-1,0.3700264108181478,2.8180364108180167,0.8974419393237018,-5.062558060676279
1,-0.7842,1.1267,5.5912,1,0.6501526056228009,4.8747106056229255,0.0,0.0
2,0.3012,0.5611,5.8234,1,0.4432619128704577,-1.2625500871295503,0.0,0.0
3,0.7757,1.0648,8.0677,1,0.0,0.0,0.0,0.0
4,0.157,0.8028,6.304,1,0.0,0.0,0.0,0.0
5,-0.7014,1.0316,3.6005,1,0.0,0.0,0.0,0.0
6,0.3748,0.1536,6.1537,-1,0.0,0.0,0.0,0.0
7,-0.692,0.9404,4.4058,1,0.0,0.0,0.0,0.0
8,-1.397,0.7141,4.9263,-1,0.0,0.0,0.0,0.0
9,-1.8842,-0.2805,1.2548,-1,0.0,0.0,0.0,0.0
